fb_code;Class;Order;Family;Genus;Species;Name;Home_range;Diel_activity;Size_group;Level_water;TempOccurrence_min;TempOccurrence_mean;TempOccurrence_max;Body_size_max;Size_class;Body_shape;Aspect_ratio;Nphoto;Caudal_fin;Mouth_position;Trophic_level;Diet;Spawning;Depth_min;Depth_max;Depth_range;Allometric_a;Allometric_b;Level_length_weight;PLD;PLD_level;Life_span;Geographic_range_index;Range_extension;Lat_Max_South;Lat_Max_North;Province_2;Province_3;Province_4;Province_6;Province_7;Province_10;Province_11;Province_12;Province_13;Province_14;Province_15;Province_16;Province_17;Province_43;Province_44;Province_45;Province_46;Province_47;Province_48;Province_50;Total_OcuProv;AT;EP;IUCN_status;Vulnerability;Price_category
4737;actinopterygii;perciformes;acanthuridae;acanthurus;leucopareius;Acanthurus leucopareius;mob;day;medg;high;13;15;18,62;25;s3;compressed;1,93654;4;truncated;terminal;2;hd;pelagic;1;85;84;0,0028375;3;species;73;genus;NA;113;native;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;lc;24,62;medium
1800;actinopterygii;perciformes;acanthuridae;acanthurus;monroviae;Acanthurus monroviae;mob;day;medg;low;18,81;22,2;26,1;45;s4;compressed;1,85186;2;truncated;terminal;2,5;hd;pelagic;5;40;35;0,002453226;3;genus;36,8;genus;NA;60;transatlantic;-24,98;39,7;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;6;1;0;lc;46,16;medium
6011;actinopterygii;perciformes;acanthuridae;acanthurus;nigricans;Acanthurus nigricans;sed;day;smallg;low;25,41;26,6;27,96;21,3;s3;compressed;2,4416175;4;truncated;terminal;2;hd;pelagic;1;67;66;0,067;2,669;species;30,5;species;34;206;native;-1,29;18,77;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;1;lc;20,49;medium
3905;actinopterygii;perciformes;acanthuridae;acanthurus;tractus;Acanthurus tractus;mob;day;medg;low;23,65;26,42;29,32;38,1;s4;compressed;2,42851;1;truncated;terminal;2;hd;pelagic;11;45;34;0,0191;2,08;species;44,27;;31;60;native;10,53;34,7;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;lc;21,09;medium
1260;actinopterygii;perciformes;acanthuridae;acanthurus;triostegus;Acanthurus triostegus;vmob;day;largeg;low;25,02;26,37;27,93;27;s3;compressed;1,915724;5;truncated;terminal;2,8;hd;pelagic;0;90;90;0,083063451;2,569683389;species;38;species;NA;293;native;-30;21,58;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;3;0;1;lc;16,26;medium
1261;actinopterygii;perciformes;acanthuridae;acanthurus;xanthopterus;Acanthurus xanthopterus;mob;day;medg;low;25,21;26,74;28,44;70;s5;compressed;1,99969;3;truncated;subterminal;2,9;hd;pelagic;1;100;99;0,026730455;2,984486638;species;56;genus;34;274;native;-1,29;23,79;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;3;0;1;lc;37,08;medium
57913;actinopterygii;gobiesociformes;gobiesocidae;acyrtops;amplicirrus;Acyrtops amplicirrus;sed;day;sol;bottom;25,82;27,45;29,03;1,9;s1;depressed;NA;NA;rounded;terminal;3;im;demersal;1;3;2;0,02306538;3;family;43;;NA;8;native;14,2;21,3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;lc;15,01;not_targeted
3073;actinopterygii;gobiesociformes;gobiesocidae;acyrtops;beryllinus;Acyrtops beryllinus;sed;day;sol;bottom;24,75;27,05;29,39;2,5;s1;depressed;1,37639;1;truncated;terminal;3,3;im;demersal;1;15;14;0,02306538;3;family;35,5;;1;35;native;-24,98;27;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;3;1;0;lc;10;not_targeted
16662;actinopterygii;gobiesociformes;gobiesocidae;acyrtus;artius;Acyrtus artius;sed;day;sol;bottom;25,33;27,29;29,36;3;s1;depressed;NA;NA;truncated;terminal;3,1;im;demersal;8;20;12;0,02306538;3;family;52;;NA;25;native;-20,55;27;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;lc;23,38;not_targeted
62176;actinopterygii;gobiesociformes;gobiesocidae;acyrtus;pauciradiatus;Acyrtus pauciradiatus;sed;day;sol;bottom;26;27;28,21;1,6;s1;depressed;NA;NA;rounded;terminal;3;im;demersal;8;20;12;0,02306538;3;family;49;;NA;1;native;-3,85;-3,85;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;ne;12,66;not_targeted
16677;actinopterygii;gobiesociformes;gobiesocidae;acyrtus;rubiginosus;Acyrtus rubiginosus;sed;day;sol;bottom;25,42;27,35;29,42;3,5;s1;depressed;NA;NA;truncated;terminal;3,3;im;demersal;0;4;4;0,02306538;3;family;35;;NA;23;native;10,53;27;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;lc;22,29;not_targeted
4150;actinopterygii;scorpaeniformes;agonidae;agonomalus;mozinoi;Agonomalus mozinoi;sed;both;sol;bottom;11;12,1;14,43;8,9;s2;elongated;NA;NA;rounded;subterminal;3,2;fc;demersal;1;11;10;NA;NA;;18,7;;NA;4;native;37,4;37,4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;ne;19,5;not_targeted
2633;actinopterygii;anguilliformes;ophichthidae;ahlia;egmontis;Ahlia egmontis;mob;day;sol;bottom;23,19;25,98;28,88;43,3;s4;eel_like;NA;NA;pointed;subterminal;4,1;im;pelagic;1;37;36;0,00024;3,015;family;30,95;;NA;50;native;-27,6;34,7;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;5;1;0;lc;26,86;not_targeted
25971;actinopterygii;perciformes;blenniidae;aidablennius;sphynx;Aidablennius sphynx;sed;day;sol;bottom;13,57;19;25,45;8;s2;elongated;NA;NA;rounded;subterminal;2,8;om;demersal;0;3;3;0,014905494;3,017856658;family;29,9;species;NA;34;native;32,5;42,86;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;lc;15,01;not_targeted
IRD-1008-G;actinopterygii;albuliformes;albulidae;albula;esuncula;Albula esuncula;vmob;both;medg;low;22,71;25,06;27,46;32;s4;fusiform;NA;NA;forked;inferior;3,3;im;pelagic;0;10;10;0,0233;2,89;genus;25,75;;NA;NA;native;-12;30,3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;4;0;1;lc;28,67;not_targeted
228;actinopterygii;albuliformes;albulidae;albula;vulpes;Albula vulpes;mob;day;smallg;low;22,35;25,26;28,36;104;s6;fusiform;2,409305;2;forked;subterminal;3,7;im;pelagic;0;84;84;0,0233;2,89;species;23,5;;20;59;native;-30;34,7;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;5;1;1;nt;42,66;high
1888;actinopterygii;perciformes;carangidae;alectis;alexandrina;Alectis alexandrina;vmob;day;sol;high;16,79;20,74;25,48;71;s5;compressed;3,88094;1;forked;terminal;3,6;fc;pelagic;0;70;70;0,0412;2,85;genus;28,16;;NA;51;native;0,19;42,73;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;1;0;lc;52,36;high
988;actinopterygii;perciformes;carangidae;alectis;ciliaris;Alectis ciliaris;vmob;both;smallg;high;23,03;25,55;28,28;150;s6;compressed;4,40876;1;forked;terminal;4;fc;pelagic;60;100;40;0,0412;2,85;species;51;;NA;361;native;-30;34,7;0;0;0;1;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;11;1;1;lc;71,04;medium
56405;actinopterygii;ophidiiformes;bythitidae;alionematichthys;minyomma;Alionematichthys minyomma;sed;night;sol;bottom;24,71;26,88;29,28;7,8;s2;elongated;NA;NA;rounded;terminal;3,2;im;live;0;9;9;NA;NA;;25,26;;NA;38;native;11,8;27;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;lc;14,62;not_targeted
3710;actinopterygii;perciformes;labrisomidae;alloclinus;holderi;Alloclinus holderi;sed;day;sol;bottom;15,99;19,37;23,81;10;s2;elongated;0,616748;1;rounded;terminal;3,6;im;demersal;0;49;49;0,0245149;2,223;family;24;;NA;8;native;24,7;37,4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;lc;10;not_targeted
9144;actinopterygii;zeiformes;oreosomatidae;allocyttus;verrucosus;Allocyttus verrucosus;vmob;NA;largeg;bottom;13;17,1;21,65;43;s4;compressed;1,04856;1;rounded;superior;4,2;fc;NA;0;1800;1800;0,0129;3,191;species;19,7;;140;23;native;-42;38,2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;5;1;0;lc;68,75;medium
8726;actinopterygii;perciformes;serranidae;alphestes;afer;Alphestes afer;sed;day;sol;low;22,58;25,6;28,72;33;s4;fusiform;1,0072705;2;rounded;terminal;3,6;im;pelagic;2;35;33;0,001417552;3,548062049;genus;17,2;;NA;44;native;-35,3;32,7;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;6;1;1;lc;33,13;very high
8727;actinopterygii;perciformes;serranidae;alphestes;immaculatus;Alphestes immaculatus;sed;night;sol;bottom;23,08;25,19;27,44;30;s3;fusiform;0,907836;1;rounded;terminal;3,5;im;pelagic;3;32;29;0,001417552;3,548062049;species;32,7;;NA;33;native;-12;30,3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;4;0;1;lc;31,76;not_targeted
8728;actinopterygii;perciformes;serranidae;alphestes;multiguttatus;Alphestes multiguttatus;sed;night;sol;bottom;23,78;25,72;27,79;30;s3;fusiform;1,06775;1;rounded;terminal;3,5;im;pelagic;1;30;29;0,001417552;3,548062049;species;21,9;;NA;28;native;-12;30,3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;3;0;1;lc;31,76;not_targeted
4273;actinopterygii;tetraodontiformes;monacanthidae;aluterus;heudelotii;Aluterus heudelotii;vmob;day;medg;high;22,53;25,72;28,94;45;s4;compressed;0,659945;1;truncated;superior;2;om;demersal;3;500;497;0,0022;3;genus;80;;NA;53;native;-24,98;32,7;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;6;1;0;lc;38,37;not_targeted
